,mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,state,target
25,0.0,1732.062065862537,-3394.7792680786156,3394.7792680786156,2023-12-05,East Khasi Hills,Meghalaya,mining_proximity
26,0.0,1732.0623545357714,-3394.7798338677585,3394.7798338677585,2023-12-06,East Khasi Hills,Meghalaya,mining_proximity
27,0.0,1732.0626432089573,-3394.780399656806,3394.780399656806,2023-12-07,East Khasi Hills,Meghalaya,mining_proximity
28,0.0,1732.0629318820954,-3394.78096544576,3394.78096544576,2023-12-08,East Khasi Hills,Meghalaya,mining_proximity
29,0.0,1732.0632205551851,-3394.7815312346193,3394.7815312346193,2023-12-09,East Khasi Hills,Meghalaya,mining_proximity
30,0.0,1732.0635092282268,-3394.7820970233843,3394.7820970233843,2023-12-10,East Khasi Hills,Meghalaya,mining_proximity
31,0.0,1732.0637979012206,-3394.782662812055,3394.782662812055,2023-12-11,East Khasi Hills,Meghalaya,mining_proximity
32,0.0,1732.064086574166,-3394.7832286006314,3394.7832286006314,2023-12-12,East Khasi Hills,Meghalaya,mining_proximity
33,0.0,1732.0611998425459,-3394.777570710623,3394.777570710623,2023-12-02,Ri Bhoi,Meghalaya,mining_proximity
34,0.0,1732.0614885159246,-3394.7781365000487,3394.7781365000487,2023-12-03,Ri Bhoi,Meghalaya,mining_proximity
35,0.0,1732.0617771892548,-3394.778702289379,3394.778702289379,2023-12-04,Ri Bhoi,Meghalaya,mining_proximity
36,0.0,1732.062065862537,-3394.7792680786156,3394.7792680786156,2023-12-05,Ri Bhoi,Meghalaya,mining_proximity
37,0.0,1732.0623545357714,-3394.7798338677585,3394.7798338677585,2023-12-06,Ri Bhoi,Meghalaya,mining_proximity
38,0.0,1732.0626432089573,-3394.780399656806,3394.780399656806,2023-12-07,Ri Bhoi,Meghalaya,mining_proximity
39,0.0,1732.0629318820954,-3394.78096544576,3394.78096544576,2023-12-08,Ri Bhoi,Meghalaya,mining_proximity
40,0.0,1732.0632205551851,-3394.7815312346193,3394.7815312346193,2023-12-09,Ri Bhoi,Meghalaya,mining_proximity
41,0.0,1732.0635092282268,-3394.7820970233843,3394.7820970233843,2023-12-10,Ri Bhoi,Meghalaya,mining_proximity
42,0.0,1732.0637979012206,-3394.782662812055,3394.782662812055,2023-12-11,Ri Bhoi,Meghalaya,mining_proximity
43,0.0,1732.064086574166,-3394.7832286006314,3394.7832286006314,2023-12-12,Ri Bhoi,Meghalaya,mining_proximity
44,0.0,1732.0611998425459,-3394.777570710623,3394.777570710623,2023-12-02,South West Khasi Hills,Meghalaya,mining_proximity
45,0.0,1732.0614885159246,-3394.7781365000487,3394.7781365000487,2023-12-03,South West Khasi Hills,Meghalaya,mining_proximity
46,0.0,1732.0617771892548,-3394.778702289379,3394.778702289379,2023-12-04,South West Khasi Hills,Meghalaya,mining_proximity
47,0.0,1732.062065862537,-3394.7792680786156,3394.7792680786156,2023-12-05,South West Khasi Hills,Meghalaya,mining_proximity
48,0.0,1732.0623545357714,-3394.7798338677585,3394.7798338677585,2023-12-06,South West Khasi Hills,Meghalaya,mining_proximity
49,0.0,1732.0626432089573,-3394.780399656806,3394.780399656806,2023-12-07,South West Khasi Hills,Meghalaya,mining_proximity
50,0.0,1732.0629318820954,-3394.78096544576,3394.78096544576,2023-12-08,South West Khasi Hills,Meghalaya,mining_proximity
51,0.0,1732.0632205551851,-3394.7815312346193,3394.7815312346193,2023-12-09,South West Khasi Hills,Meghalaya,mining_proximity
52,0.0,1732.0635092282268,-3394.7820970233843,3394.7820970233843,2023-12-10,South West Khasi Hills,Meghalaya,mining_proximity
53,0.0,1732.0637979012206,-3394.782662812055,3394.782662812055,2023-12-11,South West Khasi Hills,Meghalaya,mining_proximity
54,0.0,1732.064086574166,-3394.7832286006314,3394.7832286006314,2023-12-12,South West Khasi Hills,Meghalaya,mining_proximity
